labels,scores
Postitive,0.187739347414
Postitive,0.0274511089551
Postitive,0.724971538606
Postitive,0.0726495541854
Postitive,0.231418794259
Postitive,0.615455881715
Postitive,0.980285573401
Postitive,0.955986537908
Postitive,0.169562694038
Postitive,0.868204158676
Postitive,0.646593647227
Postitive,0.812739334175
Postitive,0.139886014854
Postitive,0.315555001554
Postitive,0.933566616621
Postitive,0.546389773102
Postitive,0.637995854112
Postitive,0.607451185596
Postitive,0.888073839383
Postitive,0.0300674988068
Postitive,0.911564738056
Postitive,0.450656585019
Postitive,0.43079943404
Postitive,0.794800450817
Postitive,0.221610391426
Postitive,0.771316188845
Postitive,0.747561437683
Postitive,0.940807900629
Postitive,0.199137099704
Postitive,0.612185409363
Postitive,0.967649960751
Postitive,0.959440436562
Postitive,0.4192021806
Postitive,0.555393630413
Postitive,0.887967033397
Postitive,0.966514797219
Postitive,0.541369787542
Postitive,0.589906008776
Postitive,0.136976361496
Postitive,0.0162295743576
Postitive,0.967530060113
Postitive,0.228911986557
Postitive,0.630698785267
Postitive,0.411726937933
Postitive,0.909752631781
Postitive,0.101739000532
Postitive,0.964064702991
Postitive,0.864033351169
Postitive,0.8844763174
Postitive,0.742249586077
Postitive,0.812114679959
Postitive,0.882263891902
Postitive,0.295147053248
Postitive,0.442629069853
Postitive,0.845013842017
Postitive,0.832613904176
Postitive,0.0689313527315
Postitive,0.953022348599
Postitive,0.843852604931
Postitive,0.268042767922
Postitive,0.067654753384
Postitive,0.255604718997
Postitive,0.069424658144
Postitive,0.59845910833
Postitive,0.637103856648
Postitive,0.686415057486
Postitive,0.868382669844
Postitive,0.829882796674
Postitive,0.0282900883426
Postitive,0.725495095939
Postitive,0.0561988032279
Postitive,0.0711680275159
Postitive,0.940335395702
Postitive,0.717844055343
Postitive,0.776431692896
Postitive,0.542030884249
Postitive,0.48301358867
Postitive,0.156309584677
Postitive,0.885221943146
Postitive,0.961783038783
Postitive,0.709651373557
Postitive,0.86720242402
Postitive,0.853206950747
Postitive,0.682849070427
Postitive,0.729739326436
Postitive,0.5
Postitive,0.180023713119
Postitive,0.376277590011
Postitive,0.790693810566
Postitive,0.713788099377
Postitive,0.931890671697
Postitive,0.2464438787
Postitive,0.26306732325
Postitive,0.784431416795
Postitive,0.923633934816
Postitive,0.98937395656
Postitive,0.153244252684
Postitive,0.795558021493
Postitive,0.899963873821
Postitive,0.630588600952
Postitive,0.587065299737
Postitive,0.878957584379
Postitive,0.400039150705
Postitive,0.198512621888
Postitive,0.734365411147
Postitive,0.85705831646
Postitive,0.965231884008
Postitive,0.850484950623
Postitive,0.0431142883125
Postitive,0.953969325572
Postitive,0.782007355762
Postitive,0.915267922004
Postitive,0.0246270724565
Postitive,0.931992229279
Postitive,0.937531953252
Postitive,0.262922272691
Postitive,0.951060226584
Postitive,0.964148639691
Postitive,0.899216206084
Postitive,0.896856670836
Postitive,0.675341986054
Postitive,0.787764370354
Postitive,0.75160528766
Postitive,0.925982999766
Postitive,0.711576975329
Postitive,0.802561159638
Postitive,0.132961181662
Postitive,0.829917530545
Postitive,0.926493076536
Postitive,0.864921455156
Postitive,0.92438149992
Postitive,0.191549539208
Postitive,0.986877579203
Postitive,0.78285598878
Postitive,0.897317582597
Postitive,0.886268029705
Postitive,0.54582049398
Postitive,0.168341256676
Postitive,0.838949538194
Postitive,0.977769827472
Postitive,0.900273206737
Postitive,0.52887881227
Postitive,0.927957077614
Postitive,0.883003776652
Postitive,0.28976879459
Postitive,0.52732443986
Postitive,0.830120958131
Postitive,0.951974075369
Postitive,0.950670719648
Postitive,0.83552958696
Postitive,0.820190215715
Postitive,0.796273269917
Postitive,0.699471941788
Postitive,0.570488759685
Postitive,0.313916680132
Postitive,0.879770021386
Postitive,0.857587425569
Postitive,0.958834989627
Postitive,0.771590534091
Postitive,0.823575550448
Postitive,0.194504414338
Postitive,0.419331450927
Postitive,0.915604339842
Postitive,0.455525124711
Postitive,0.115719890895
Postitive,0.263798250368
Postitive,0.875482083009
Postitive,0.35670445808
Postitive,0.168104142162
Postitive,0.681249145515
Postitive,0.887406802712
Postitive,0.917655728625
Postitive,0.525217843441
Postitive,0.730452499241
Postitive,0.82845707057
Postitive,0.906933591806
Postitive,0.213266912223
Postitive,0.951912059221
Postitive,0.718323587762
Postitive,0.43839653368
Postitive,0.53165951227
Postitive,0.223843653619
Postitive,0.975883209708
Postitive,0.895776236998
Postitive,0.809334866964
Postitive,0.94998233269
Postitive,0.79557786328
